date,close,volume,open,high,low,Source
03/11/2026,$823.76,"2,236,531",$829.95,$832.8025,$810.54,NASDAQ
03/10/2026,$833.81,"1,871,901",$834.68,$846.09,$826.35,NASDAQ
03/09/2026,$832.03,"3,258,185",$810.00,$836.68,$795.00,NASDAQ
03/06/2026,$821.42,"2,472,991",$816.00,$827.16,$801.33,NASDAQ
03/05/2026,$835.46,"3,096,912",$862.01,$866.5243,$822.20,NASDAQ
03/04/2026,$867.25,"2,081,820",$869.84,$878.80,$860.00,NASDAQ
03/03/2026,$862.58,"3,782,323",$836.00,$868.335,$824.64,NASDAQ
03/02/2026,$861.70,"2,873,190",$840.00,$873.63,$836.00,NASDAQ
02/27/2026,$859.57,"5,552,255",$912.00,$916.25,$854.1501,NASDAQ
02/26/2026,$929.00,"2,220,304",$927.76,$938.39,$921.5401,NASDAQ
02/25/2026,$921.38,"1,763,623",$914.72,$922.51,$907.52,NASDAQ
02/24/2026,$902.27,"1,971,522",$885.44,$911.77,$881.65,NASDAQ
02/23/2026,$892.31,"2,535,866",$918.50,$932.00,$883.7501,NASDAQ
02/20/2026,$922.24,"2,009,290",$912.55,$922.37,$900.57,NASDAQ
02/19/2026,$916.65,"1,974,197",$925.00,$929.664,$906.485,NASDAQ
02/18/2026,$933.73,"1,864,857",$921.58,$947.6999,$919.98,NASDAQ
02/17/2026,$916.04,"2,008,475",$907.73,$921.55,$905.68,NASDAQ
02/13/2026,$905.14,"2,623,331",$894.41,$905.99,$869.00,NASDAQ
02/12/2026,$904.55,"3,188,714",$956.17,$968.39,$903.98,NASDAQ
02/11/2026,$944.59,"2,654,273",$950.64,$968.13,$931.28,NASDAQ
02/10/2026,$948.99,"3,324,939",$945.70,$961.83,$929.93,NASDAQ
02/09/2026,$943.62,"2,322,964",$929.00,$949.00,$927.11,NASDAQ
02/06/2026,$928.75,"2,473,247",$907.87,$931.77,$907.23,NASDAQ
02/05/2026,$890.41,"3,214,264",$901.67,$910.83,$876.72,NASDAQ
02/04/2026,$913.30,"3,561,866",$937.12,$944.1642,$893.80,NASDAQ
02/03/2026,$938.99,"2,321,948",$949.50,$964.50,$919.06,NASDAQ
02/02/2026,$946.33,"1,802,012",$932.125,$949.4444,$912.08,NASDAQ
01/30/2026,$935.41,"1,893,676",$933.95,$947.00,$923.17,NASDAQ
01/29/2026,$940.12,"2,335,849",$937.30,$955.38,$925.13,NASDAQ
01/28/2026,$936.81,"1,674,080",$932.51,$937.17,$922.76,NASDAQ
01/27/2026,$929.72,"2,012,488",$924.00,$933.40,$920.39,NASDAQ
01/26/2026,$931.86,"2,655,865",$918.41,$933.735,$917.98,NASDAQ
01/23/2026,$918.88,"3,872,606",$934.08,$937.19,$917.05,NASDAQ
01/22/2026,$954.65,"2,468,294",$960.06,$970.9504,$950.81,NASDAQ
01/21/2026,$953.01,"2,251,250",$944.00,$968.92,$943.45,NASDAQ
01/20/2026,$943.37,"2,629,085",$946.38,$962.60,$939.10,NASDAQ
01/16/2026,$962.00,"3,071,631",$973.00,$984.70,$957.00,NASDAQ
01/15/2026,$975.86,"3,773,730",$924.90,$981.2599,$924.67,NASDAQ
01/14/2026,$932.67,"2,513,038",$932.30,$938.15,$917.90,NASDAQ
01/13/2026,$938.15,"1,969,584",$947.32,$949.94,$931.0001,NASDAQ
01/12/2026,$949.55,"2,180,033",$934.00,$950.56,$929.1101,NASDAQ
01/09/2026,$938.98,"1,334,087",$938.77,$946.14,$932.70,NASDAQ
01/08/2026,$934.83,"1,961,243",$935.475,$945.19,$932.00,NASDAQ
01/07/2026,$941.02,"2,683,338",$956.88,$958.25,$934.00,NASDAQ
01/06/2026,$955.47,"1,965,954",$949.41,$958.57,$943.25,NASDAQ
01/05/2026,$948.44,"3,742,022",$914.40,$961.69,$912.60,NASDAQ
01/02/2026,$914.34,"2,817,613",$884.00,$914.44,$880.75,NASDAQ
12/31/2025,$879.00,"1,221,740",$884.10,$886.00,$876.79,NASDAQ
12/30/2025,$884.42,"1,833,267",$894.74,$895.02,$881.1801,NASDAQ
12/29/2025,$892.18,"1,577,955",$906.45,$906.48,$891.56,NASDAQ
12/26/2025,$907.04,"995,328",$911.00,$913.3175,$905.305,NASDAQ
12/24/2025,$910.78,"771,780",$901.16,$911.88,$898.70,NASDAQ
12/23/2025,$901.71,"1,210,438",$900.345,$905.92,$893.70,NASDAQ
12/22/2025,$899.00,"1,442,332",$896.52,$905.48,$894.84,NASDAQ
12/19/2025,$893.48,"4,808,303",$883.17,$899.7475,$881.951,NASDAQ
12/18/2025,$876.30,"2,066,338",$880.50,$892.785,$874.6975,NASDAQ
12/17/2025,$872.33,"2,213,336",$886.33,$895.97,$868.441,NASDAQ
12/16/2025,$879.15,"2,161,603",$890.23,$896.24,$874.32,NASDAQ
12/15/2025,$889.59,"1,976,603",$892.00,$904.47,$889.59,NASDAQ
12/12/2025,$887.96,"2,715,200",$913.75,$914.99,$886.99,NASDAQ
12/11/2025,$911.03,"2,682,952",$889.98,$919.098,$888.00,NASDAQ
12/10/2025,$889.24,"2,394,286",$871.35,$897.1959,$869.271,NASDAQ
12/09/2025,$876.58,"2,274,812",$866.00,$883.721,$864.31,NASDAQ
12/08/2025,$866.69,"2,238,131",$861.10,$870.56,$856.3001,NASDAQ
12/05/2025,$854.56,"2,277,520",$837.26,$856.20,$836.515,NASDAQ
12/04/2025,$837.83,"1,671,014",$835.535,$843.99,$834.50,NASDAQ
12/03/2025,$836.57,"2,347,919",$812.95,$837.91,$812.95,NASDAQ
12/02/2025,$815.21,"2,254,578",$811.12,$819.70,$808.30,NASDAQ
12/01/2025,$810.86,"2,133,209",$818.59,$824.73,$809.61,NASDAQ
11/28/2025,$826.04,"868,346",$820.00,$830.57,$818.95,NASDAQ
11/26/2025,$816.01,"1,862,897",$805.84,$819.58,$805.00,NASDAQ
11/25/2025,$802.32,"2,253,164",$797.00,$805.26,$777.99,NASDAQ
11/24/2025,$790.71,"2,319,465",$778.635,$793.99,$775.3628,NASDAQ
11/21/2025,$774.03,"2,284,742",$776.83,$780.37,$754.00,NASDAQ
11/20/2025,$773.70,"2,598,978",$795.25,$816.00,$772.19,NASDAQ
11/19/2025,$785.99,"1,521,113",$776.30,$787.87,$775.00,NASDAQ
11/18/2025,$776.30,"1,673,456",$772.06,$787.70,$766.5446,NASDAQ
11/17/2025,$775.56,"1,850,550",$790.00,$796.73,$770.50,NASDAQ
11/14/2025,$790.91,"2,552,397",$795.55,$800.61,$778.00,NASDAQ
11/13/2025,$805.50,"2,557,357",$833.06,$841.28,$805.02,NASDAQ
11/12/2025,$838.97,"2,954,130",$814.13,$840.00,$814.13,NASDAQ
11/11/2025,$810.31,"1,521,454",$798.48,$812.00,$795.61,NASDAQ
11/10/2025,$797.20,"1,698,196",$796.08,$806.36,$788.80,NASDAQ
11/07/2025,$786.34,"2,098,378",$783.00,$787.06,$762.80,NASDAQ
11/06/2025,$787.58,"1,572,510",$794.00,$798.20,$777.00,NASDAQ
11/05/2025,$793.09,"1,832,849",$790.44,$797.36,$775.58,NASDAQ
11/04/2025,$790.83,"2,045,978",$777.00,$806.00,$773.00,NASDAQ
11/03/2025,$785.52,"1,569,490",$789.57,$796.00,$781.44,NASDAQ
10/31/2025,$789.37,"1,328,350",$784.98,$791.7224,$783.00,NASDAQ
10/30/2025,$790.16,"1,829,451",$783.56,$807.14,$780.6001,NASDAQ
10/29/2025,$783.06,"2,251,507",$788.00,$800.49,$778.82,NASDAQ
10/28/2025,$792.09,"1,242,031",$792.05,$798.36,$787.35,NASDAQ
10/27/2025,$789.99,"1,645,272",$789.00,$796.7099,$787.01,NASDAQ
10/24/2025,$783.88,"2,505,628",$759.85,$784.61,$756.00,NASDAQ
10/23/2025,$750.78,"1,615,360",$749.34,$755.00,$744.66,NASDAQ
10/22/2025,$744.60,"2,141,448",$760.61,$760.61,$743.11,NASDAQ
10/21/2025,$758.98,"1,782,194",$759.00,$765.2999,$758.27,NASDAQ
10/20/2025,$763.32,"1,925,438",$757.00,$766.4199,$752.88,NASDAQ
10/17/2025,$750.77,"2,884,713",$758.15,$758.935,$740.01,NASDAQ
10/16/2025,$758.09,"3,160,922",$770.66,$781.44,$752.41,NASDAQ
10/15/2025,$767.93,"3,217,433",$778.62,$782.49,$762.66,NASDAQ
10/14/2025,$770.76,"4,710,809",$764.45,$786.569,$742.4601,NASDAQ
10/13/2025,$786.78,"2,766,010",$777.88,$791.05,$777.88,NASDAQ
10/10/2025,$764.36,"2,457,850",$783.12,$791.66,$764.00,NASDAQ
10/09/2025,$779.96,"1,575,049",$778.85,$782.91,$771.35,NASDAQ
10/08/2025,$776.51,"1,939,277",$791.75,$795.00,$774.34,NASDAQ
10/07/2025,$789.65,"1,547,401",$798.00,$805.322,$781.39,NASDAQ
10/06/2025,$796.78,"1,632,584",$795.00,$802.50,$780.0462,NASDAQ
10/03/2025,$789.98,"1,470,517",$783.00,$794.92,$777.86,NASDAQ
10/02/2025,$779.38,"1,553,849",$788.88,$791.00,$772.4447,NASDAQ
10/01/2025,$785.51,"1,789,094",$793.62,$796.28,$783.23,NASDAQ
09/30/2025,$796.35,"2,463,934",$805.50,$809.62,$786.4531,NASDAQ
09/29/2025,$804.12,"1,059,139",$807.80,$808.84,$797.985,NASDAQ
09/26/2025,$802.51,"1,376,242",$797.16,$809.50,$795.13,NASDAQ
09/25/2025,$794.76,"1,413,098",$786.00,$798.18,$782.01,NASDAQ
09/24/2025,$792.43,"1,402,486",$809.55,$812.8375,$792.34,NASDAQ
09/23/2025,$806.32,"1,759,168",$807.10,$825.25,$802.00,NASDAQ
09/22/2025,$805.56,"1,151,214",$801.14,$806.0299,$797.54,NASDAQ
09/19/2025,$805.00,"3,789,814",$804.09,$809.66,$797.3652,NASDAQ
09/18/2025,$804.31,"1,501,837",$795.57,$807.275,$792.40,NASDAQ
09/17/2025,$794.22,"1,945,281",$788.86,$798.57,$785.23,NASDAQ
09/16/2025,$785.53,"1,529,464",$789.53,$790.01,$779.6901,NASDAQ
09/15/2025,$786.76,"1,292,267",$782.95,$792.375,$781.44,NASDAQ
09/12/2025,$780.06,"1,099,570",$783.50,$787.03,$776.2577,NASDAQ
09/11/2025,$784.73,"2,076,093",$772.00,$793.17,$771.35,NASDAQ
09/10/2025,$769.58,"1,996,395",$761.86,$774.47,$761.625,NASDAQ
09/09/2025,$763.92,"2,611,307",$740.13,$765.62,$738.54,NASDAQ
09/08/2025,$741.85,"1,400,067",$739.42,$743.5432,$733.57,NASDAQ
09/05/2025,$738.21,"1,822,767",$752.19,$757.35,$727.1525,NASDAQ
09/04/2025,$748.90,"1,778,153",$733.75,$748.91,$731.1701,NASDAQ
09/03/2025,$730.56,"1,485,765",$728.56,$732.02,$722.30,NASDAQ
09/02/2025,$730.85,"2,296,616",$736.385,$736.385,$721.1572,NASDAQ
08/29/2025,$745.25,"1,467,307",$746.71,$748.9165,$738.90,NASDAQ
08/28/2025,$751.22,"1,411,464",$750.99,$753.33,$746.99,NASDAQ
08/27/2025,$749.67,"1,535,102",$745.97,$753.00,$745.02,NASDAQ
08/26/2025,$748.95,"1,511,647",$737.71,$749.16,$733.86,NASDAQ
08/25/2025,$738.79,"1,381,285",$741.89,$746.50,$738.33,NASDAQ
08/22/2025,$741.89,"1,948,881",$720.14,$744.835,$718.5835,NASDAQ
08/21/2025,$715.95,"1,162,101",$716.54,$719.22,$712.965,NASDAQ
08/20/2025,$720.68,"1,872,699",$721.195,$722.25,$705.55,NASDAQ
08/19/2025,$721.38,"1,856,357",$729.16,$730.00,$717.73,NASDAQ
08/18/2025,$730.96,"1,158,015",$729.50,$731.61,$723.8702,NASDAQ
08/15/2025,$730.72,"1,645,865",$749.00,$749.05,$729.18,NASDAQ
08/14/2025,$747.20,"1,371,507",$742.72,$748.16,$737.00,NASDAQ
08/13/2025,$744.69,"1,862,990",$745.78,$748.91,$732.615,NASDAQ
08/12/2025,$743.38,"2,418,313",$725.28,$748.135,$724.35,NASDAQ
08/11/2025,$719.24,"1,273,485",$722.20,$723.84,$715.74,NASDAQ
08/08/2025,$721.27,"1,275,528",$725.86,$728.00,$718.65,NASDAQ
08/07/2025,$719.74,"1,400,392",$730.62,$732.94,$717.6108,NASDAQ
08/06/2025,$724.74,"1,477,307",$724.50,$728.30,$722.00,NASDAQ
08/05/2025,$720.91,"1,977,330",$728.00,$729.40,$714.55,NASDAQ
08/04/2025,$726.03,"1,753,725",$715.20,$726.79,$715.20,NASDAQ
08/01/2025,$709.57,"2,999,098",$710.51,$714.52,$694.05,NASDAQ
07/31/2025,$723.59,"2,358,080",$726.59,$734.04,$720.44,NASDAQ
07/30/2025,$730.75,"1,816,238",$731.14,$737.88,$723.18,NASDAQ
07/29/2025,$731.98,"2,136,342",$726.85,$734.1299,$722.42,NASDAQ
07/28/2025,$723.65,"1,465,032",$728.00,$732.52,$722.1701,NASDAQ
07/25/2025,$728.98,"1,851,667",$720.76,$729.89,$718.3478,NASDAQ
07/24/2025,$719.18,"1,974,746",$718.93,$725.7686,$714.73,NASDAQ
07/23/2025,$717.52,"2,395,697",$702.00,$719.01,$701.50,NASDAQ
07/22/2025,$700.41,"1,978,860",$703.66,$706.49,$691.88,NASDAQ
07/21/2025,$706.00,"2,006,467",$709.14,$712.76,$704.35,NASDAQ
07/18/2025,$708.26,"1,925,396",$707.06,$710.29,$698.3938,NASDAQ
07/17/2025,$705.84,"2,046,053",$706.275,$717.45,$704.28,NASDAQ
07/16/2025,$708.82,"3,323,219",$708.50,$709.7809,$691.30,NASDAQ
07/15/2025,$702.51,"1,981,228",$713.30,$714.6861,$700.04,NASDAQ
07/14/2025,$713.30,"1,909,262",$704.74,$713.43,$702.125,NASDAQ
07/11/2025,$704.95,"1,682,060",$703.59,$706.00,$700.23,NASDAQ
07/10/2025,$709.12,"1,733,788",$696.74,$710.375,$696.4501,NASDAQ
07/09/2025,$696.56,"1,763,664",$704.34,$704.34,$694.71,NASDAQ
07/08/2025,$697.28,"3,100,706",$710.72,$711.185,$693.77,NASDAQ
07/07/2025,$710.93,"2,863,715",$721.70,$723.97,$706.34,NASDAQ
07/03/2025,$723.68,"1,502,041",$715.91,$726.00,$713.4022,NASDAQ
07/02/2025,$715.89,"2,906,509",$708.80,$718.73,$705.08,NASDAQ
07/01/2025,$706.46,"3,300,971",$708.00,$713.01,$700.61,NASDAQ
06/30/2025,$707.75,"3,976,416",$714.265,$714.30,$702.95,NASDAQ
06/27/2025,$690.81,"3,650,514",$691.00,$694.1971,$685.39,NASDAQ
06/26/2025,$687.16,"2,849,509",$670.62,$689.33,$670.51,NASDAQ
06/25/2025,$669.87,"1,566,692",$664.60,$670.12,$660.785,NASDAQ
06/24/2025,$662.11,"2,307,810",$654.45,$663.77,$653.235,NASDAQ
06/23/2025,$646.88,"2,020,840",$639.26,$647.42,$630.01,NASDAQ
06/20/2025,$640.80,"4,115,367",$638.83,$642.64,$636.69,NASDAQ
06/18/2025,$635.24,"2,423,106",$624.51,$639.88,$623.645,NASDAQ
06/17/2025,$624.64,"1,479,255",$624.70,$631.67,$623.00,NASDAQ
06/16/2025,$627.85,"1,870,396",$619.00,$632.27,$618.00,NASDAQ
06/13/2025,$613.54,"1,675,102",$616.05,$620.1236,$609.59,NASDAQ
06/12/2025,$625.11,"1,634,667",$621.00,$626.01,$615.80,NASDAQ
06/11/2025,$624.17,"2,063,555",$617.18,$629.84,$614.59,NASDAQ
06/10/2025,$614.87,"1,376,484",$613.00,$616.55,$609.3113,NASDAQ
06/09/2025,$613.52,"1,610,717",$614.75,$619.10,$611.01,NASDAQ
06/06/2025,$614.00,"1,676,062",$613.00,$621.375,$610.00,NASDAQ
06/05/2025,$605.88,"2,088,546",$600.00,$609.715,$592.90,NASDAQ
06/04/2025,$599.21,"1,295,143",$605.48,$606.33,$598.72,NASDAQ
06/03/2025,$603.83,"1,730,268",$600.00,$606.32,$593.73,NASDAQ
06/02/2025,$598.72,"1,221,389",$598.60,$599.17,$592.1701,NASDAQ
05/30/2025,$600.45,"2,129,871",$600.00,$603.60,$593.83,NASDAQ
05/29/2025,$604.86,"1,736,459",$608.52,$610.00,$598.30,NASDAQ
05/28/2025,$608.44,"2,001,916",$617.28,$618.6299,$607.31,NASDAQ
05/27/2025,$615.73,"2,364,692",$605.895,$617.67,$604.95,NASDAQ
05/23/2025,$598.54,"1,530,625",$585.00,$601.96,$582.50,NASDAQ
05/22/2025,$598.23,"1,939,565",$592.55,$602.20,$592.505,NASDAQ
05/21/2025,$593.46,"2,635,920",$601.80,$609.865,$592.00,NASDAQ
05/20/2025,$606.52,"1,602,046",$607.75,$611.55,$603.0088,NASDAQ
05/19/2025,$612.30,"2,842,072",$609.19,$619.38,$598.34,NASDAQ
05/16/2025,$619.03,"2,021,766",$616.95,$620.79,$613.56,NASDAQ
05/15/2025,$615.90,"2,428,097",$609.73,$619.21,$609.73,NASDAQ
05/14/2025,$611.60,"2,874,409",$603.80,$615.00,$602.50,NASDAQ
